ㄱ,주소,Latitude,Longitude
인천석남중학교,인천광역시 서구 건지로 333(석남동. 석남중학교),37.498814,126.6794215
인천계수중학교,인천광역시 계양구 살라리로2번길 25(서운동.계수중학교),37.5349632,126.7449232
인천해원중학교,인천광역시 서구 청라한내로 21(청라동. 인천해원중학교),37.5269763,126.6280476
인천루원중학교,인천광역시 서구 염곡로 517(가정동. 인천루원중학교),37.5160212,126.6731122
인천아라중학교,인천광역시 서구 서로2로 50(당하동. 인천아라중학교),37.5861145,126.7038394
강남중학교,인천광역시 강화군 길상면 강화남로 62-2(길상면. 강남중학교),37.6444696,126.4800612
강서중학교,인천광역시 강화군 하점면 강화서로 909-19(하점면. 강서중학교),37.7738751,126.3886099
강화중학교,인천광역시 강화군 강화읍 동문로 53. 강화중학교 (강화읍),37.7501225,126.4904517
강화여자중학교,인천광역시 강화군 강화읍 갑룡길 11(강화읍),37.7453104,126.4944733
교동중학교,인천광역시 강화군 교동면 교동남로 77(교동면),37.7778854,126.2838104
서도중학교,인천광역시 강화군 서도면 주문도길 173(서도면. 서도초.중.고등학교),37.6478235,126.2520701
심도중학교,인천광역시 강화군 화도면 마니산로 703-20(화도면. 심도중학교),37.6318571,126.42149
동광중학교,인천광역시 강화군 양도면 강화남로 704(양도면. 동광중학교),37.6624021,126.4228823
승영중학교,인천광역시 강화군 삼산면 삼산북로473번길 47. 삼산승영중학교 (삼산면. 삼산승영중학교),37.7018151,126.3184576
