,정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명,legal_dong
58101,GGB166000189,동수치안센터,37.48805,126.7295333,2023-10-16,40189.0,23,인천광역시,경기,부평동
58102,GGB166000190,부평역,37.4911,126.7203667,2023-10-16,40190.0,23,인천광역시,경기,부평동
58103,GGB168001069,공단사거리,37.59275,126.6153667,2023-10-16,89069.0,23,인천광역시,경기,오류동
58104,GGB168001070,공단사거리,37.59295,126.6156,2023-10-16,89070.0,23,인천광역시,경기,오류동
58105,GGB168001071,뉴서울아파트,37.52495,126.678,2023-10-16,89071.0,23,인천광역시,경기,가정동
58106,GGB168001072,뉴서울아파트,37.5243333,126.67815,2023-10-16,89072.0,23,인천광역시,경기,가정동
58107,GGB168001073,대우하나아파트,37.5246333,126.6843333,2023-10-16,89073.0,23,인천광역시,경기,가정동
58108,GGB168001074,대우하나아파트,37.52405,126.6843,2023-10-16,89074.0,23,인천광역시,경기,가정동
58109,GGB168001075,가정(루원시티)역,37.5245167,126.6742,2023-10-16,89075.0,23,인천광역시,경기,가정동
58110,GGB168001078,가정(루원시티)역,37.5250667,126.6737167,2023-10-16,89078.0,23,인천광역시,경기,가정동
58111,GGB168001107,루원더퍼스트아파트,37.5332167,126.6653167,2023-10-16,89107.0,23,인천광역시,경기,가정동
58112,GGB168001108,루원더퍼스트아파트,37.53305,126.6653167,2023-10-16,89108.0,23,인천광역시,경기,가정동
58113,GGB168001118,가원초등학교,37.5286667,126.6628667,2023-10-16,89118.0,23,인천광역시,경기,가정동
58114,GGB168001119,가정보금자리(중),37.52745,126.6625333,2023-10-16,89119.0,23,인천광역시,경기,청라동
58115,GGB168001120,가정보금자리(중),37.5282333,126.66275,2023-10-16,89120.0,23,인천광역시,경기,가정동
58116,GGB168001143,원창동(기점),37.5211,126.6590667,2023-10-16,89143.0,23,인천광역시,경기,원창동
58117,GGB168001144,원창동(기점),37.5211,126.6592333,2023-10-16,89144.0,23,인천광역시,경기,원창동
58118,GGB168001149,루원호반베르디움,37.5275667,126.6680667,2023-10-16,89149.0,23,인천광역시,경기,가정동
58119,GGB168001150,루원시티프라디움,37.5274333,126.6673167,2023-10-16,89150.0,23,인천광역시,경기,가정동
58120,GGB168001167,드림파크수영장,37.5777333,126.6637167,2023-10-16,89167.0,23,인천광역시,경기,백석동
58121,GGB168001168,드림파크수영장,37.5779667,126.6640167,2023-10-16,89168.0,23,인천광역시,경기,백석동
58122,GGB168001169,한들방죽들,37.5767667,126.6707833,2023-10-16,89169.0,23,인천광역시,경기,백석동
58123,GGB168001170,한들방죽들,37.577,126.6712667,2023-10-16,89170.0,23,인천광역시,경기,백석동
58124,GGB168001182,웰카운티17단지,37.5390667,126.6599667,2023-10-16,89182.0,23,인천광역시,경기,청라동
58125,GGB168001183,웰카운티17단지,37.5396667,126.6595833,2023-10-16,89183.0,23,인천광역시,경기,청라동
58126,GGB168001188,홈씨씨인천점,37.5153333,126.6486667,2023-10-16,89188.0,23,인천광역시,경기,원창동
58127,GGB168001190,모다아울렛,37.51045,126.64845,2023-10-16,89190.0,23,인천광역시,경기,원창동
58128,GGB168001198,인천아시아드주경기장(서문),37.5459667,126.6638667,2023-10-16,89198.0,23,인천광역시,경기,연희동
58129,GGB168001218,청라복합문화센터,37.52385,126.6345,2023-10-16,89218.0,23,인천광역시,경기,청라동
58130,GGB168001219,청라복합문화센터,37.5237,126.6346333,2023-10-16,89219.0,23,인천광역시,경기,청라동
58131,GGB168001226,타운하우스공장.명진화학,37.5930167,126.6093833,2023-10-16,89226.0,23,인천광역시,경기,오류동
58132,GGB168001227,타운하우스공장.명진화학,37.5928833,126.6091833,2023-10-16,89227.0,23,인천광역시,경기,오류동
58133,GGB168001230,SK.GS주유소,37.4928,126.6608833,2023-10-16,89230.0,23,인천광역시,경기,가좌동
58134,GGB168001231,SK.GS주유소,37.4927833,126.6612833,2023-10-16,89231.0,23,인천광역시,경기,가좌동
58135,GGB168001239,백석중사거리,37.5770333,126.6731833,2023-10-16,89239.0,23,인천광역시,경기,백석동
58136,GGB168001245,중앙호수공원입구(호반베르디움),37.52895,126.6404167,2023-10-16,89245.0,23,인천광역시,경기,청라동
58137,GGB168001246,청라로봇랜드,37.5222833,126.6121833,2023-10-16,89246.0,23,인천광역시,경기,청라동
58138,GGB168001247,청라로봇랜드,37.5220667,126.6118667,2023-10-16,89247.0,23,인천광역시,경기,청라동
58139,GGB168001248,태평아파트사거리,37.5588167,126.65205,2023-10-16,89248.0,23,인천광역시,경기,경서동
58140,GGB168001249,태평아파트사거리,37.5588,126.6518833,2023-10-16,89249.0,23,인천광역시,경기,경서동
58141,GGB168001250,검암역입구(시천교밑),37.5688,126.6766167,2023-10-16,89250.0,23,인천광역시,경기,검암동
58142,GGB168001251,검단오류풍림아이원,37.5999667,126.63815,2023-10-16,89251.0,23,인천광역시,경기,오류동
58143,GGB168001252,검단오류풍림아이원,37.6000167,126.6380333,2023-10-16,89252.0,23,인천광역시,경기,오류동
58144,GGB168001253,좌동마을,37.6142,126.6378333,2023-10-16,89253.0,23,인천광역시,경기,금곡동
58145,GGB168001257,아시아드대광로제비앙아파트,37.5572333,126.6686333,2023-10-16,89257.0,23,인천광역시,경기,경서동
58146,GGB168001258,아시아드대광로제비앙아파트,37.5571,126.6684833,2023-10-16,89258.0,23,인천광역시,경기,경서동
58147,GGB168001259,마전지구버스차고지,37.61455,126.6559333,2023-10-16,89259.0,23,인천광역시,경기,마전동
58148,GGB168001262,핸즈코퍼레이션,37.4850167,126.66645,2023-10-16,89262.0,23,인천광역시,경기,가좌동
58149,GGB168001263,핸즈코퍼레이션,37.4847,126.66645,2023-10-16,89263.0,23,인천광역시,경기,가좌동
58150,GGB168001264,LG전자인천캠퍼스,37.55525,126.6445167,2023-10-16,89264.0,23,인천광역시,경기,경서동
58151,GGB168001283,루에블리아파트,37.5232167,126.6690833,2023-10-16,89283.0,23,인천광역시,경기,신현동
58152,GGB168001284,루에블리아파트,37.5233167,126.6693167,2023-10-16,89284.0,23,인천광역시,경기,가정동
58153,GGB168001288,청라웰카운티221동,37.53475,126.6596,2023-10-16,89288.0,23,인천광역시,경기,청라동
58154,GGB168001289,청라국제어린이집,37.5347667,126.6599833,2023-10-16,89289.0,23,인천광역시,경기,청라동
58155,GGB168001290,호수공원음악분수(중),37.5298167,126.628,2023-10-16,89290.0,23,인천광역시,경기,청라동
58156,GGB168001291,호수공원음악분수(중),37.5296167,126.6274333,2023-10-16,89291.0,23,인천광역시,경기,청라동
58157,GGB168001301,로봇타워,37.5206167,126.6121167,2023-10-16,89301.0,23,인천광역시,경기,청라동
58158,GGB168001302,로봇타워,37.5207,126.61255,2023-10-16,89302.0,23,인천광역시,경기,청라동
58159,GGB168001308,루원시티프라디움105동,37.52665,126.6692,2023-10-16,89308.0,23,인천광역시,경기,가정동
58160,GGB168001309,가정1동행정복지센터,37.5257667,126.66935,2023-10-16,89309.0,23,인천광역시,경기,가정동
58161,GGB168001337,청라BRT차고지입구,37.513,126.6223333,2023-10-16,89337.0,23,인천광역시,경기,청라동
58162,GGB168001354,인천아시아드주경기장(동문),37.5496167,126.6687833,2023-10-16,89354.0,23,인천광역시,경기,연희동
58163,GGB168001355,인천서곶초등학교,37.54665,126.6691167,2023-10-16,89355.0,23,인천광역시,경기,연희동
58164,GGB168001356,인천아시아드테니스장,37.5435,126.6694167,2023-10-16,89356.0,23,인천광역시,경기,연희동
58165,GGB168001357,인천아시아드테니스장,37.54355,126.6696667,2023-10-16,89357.0,23,인천광역시,경기,심곡동
58166,GGB168001358,인천서곶초등학교,37.5467,126.6693833,2023-10-16,89358.0,23,인천광역시,경기,연희동
58167,GGB168001359,인천아시아드주경기장(동문),37.5493833,126.669,2023-10-16,89359.0,23,인천광역시,경기,연희동
58168,GGB168001363,드림파크야생화단지,37.57775,126.66165,2023-10-16,89363.0,23,인천광역시,경기,백석동
58169,GGB168001364,드림파크야생화단지,37.578,126.6619167,2023-10-16,89364.0,23,인천광역시,경기,백석동
58170,GGB168001404,아라노을공원·한신더휴,37.58935,126.7072333,2023-10-16,89404.0,23,인천광역시,경기,당하동
58171,GGB168001405,아라노을공원·한신더휴,37.5893333,126.7074667,2023-10-16,89405.0,23,인천광역시,경기,당하동
58172,GGB168001406,아라센트럴파크,37.5888833,126.7100833,2023-10-16,89406.0,23,인천광역시,경기,당하동
58173,GGB168001407,아라센트럴파크,37.5887167,126.7102,2023-10-16,89407.0,23,인천광역시,경기,당하동
58174,GGB168001408,검단LH행복주택,37.5893667,126.7175667,2023-10-16,89408.0,23,인천광역시,경기,원당동
58175,GGB168001409,검단LH행복주택,37.58955,126.7175667,2023-10-16,89409.0,23,인천광역시,경기,원당동
58176,GGB168001412,한국지엠청라주행시험장,37.5192833,126.64945,2023-10-16,89412.0,23,인천광역시,경기,청라동
58177,GGB168001413,한국지엠청라주행시험장,37.51985,126.6489167,2023-10-16,89413.0,23,인천광역시,경기,청라동
58178,GGB168001420,중봉로교차로,37.524,126.6495833,2023-10-16,89420.0,23,인천광역시,경기,청라동
58179,GGB168001421,중봉로교차로,37.52405,126.6491,2023-10-16,89421.0,23,인천광역시,경기,청라동
58180,GGB169000001,강화마니산,37.63095,126.4347833,2023-10-16,43001.0,23,인천광역시,경기,화도면
