ㄱ,주소
인천주안남초등학교,인천광역시 미추홀구 인주대로434번길 11(주안동. 주안남초등학교)
인천주안북초등학교,인천광역시 미추홀구 석정로375번길 14(주안동. 인천 주안북초등학교)
인천창영초등학교,인천광역시 동구 우각로15번길 16(창영동.창영초등학교)
인천하늘초등학교,인천광역시 중구 은하수로 294(중산동. 영종하늘초등학교)
인천학익초등학교,인천광역시 미추홀구 한나루로403번길 122(학익동. 학익초등학교)
인천연학초등학교,인천광역시 미추홀구 주승로 20(학익동. 연학초등학교)
인천삼목초등학교,인천광역시 중구 신도시북로 42. 삼목초등학교(운서동. 인천삼목초등학교)
인천학산초등학교,인천광역시 미추홀구 한나루로357번길 66(학익동. 학산초등학교)
인천경원초등학교,인천광역시 미추홀구 경인로 511(주안동. 경원초등학교)
인천운남초등학교,인천광역시 중구 운남서로 38(운남동. 운남초등학교)
인천동명초등학교,인천광역시 동구 송림로70번길 10(송림동. 동명초등학교)
인성초등학교,인천광역시 중구 신포로39번길 42(송학동2가)
인천중산초등학교,인천광역시 중구 두미포로 100. 인천중산초등학교 (중산동)
인천공항중학교,인천광역시 중구 영종대로27번길 49. 인천공항중학교 (운서동. 인천공항중학교)
관교중학교,인천광역시 미추홀구 경원대로670번길 19(관교동. 관교중학교)
관교여자중학교,인천광역시 미추홀구 경원대로 691(관교동. 관교여자중학교)
인천남중학교,인천광역시 미추홀구 수봉로 16-23(숭의동. 인천남 중학교)
남인천여자중학교,인천광역시 미추홀구 인하로 426(관교동. 남인천여자중학교)
신흥여자중학교,인천광역시 중구 인항로24번길 37(신흥동3가. 신흥여자중학교)
선인중학교,인천광역시 미추홀구 석정로 165. 선인중학교 (도화동)
백령중학교,인천광역시 옹진군 백령면 백령로 708(백령면. 백령고등학교. 백령중학교)
선화여자중학교,인천광역시 미추홀구 석정로 165. 선화여자중학교 (도화동)
신흥중학교,인천광역시 중구 인항로24번길 38(신흥동3가)
영종중학교,인천광역시 중구 남디로 92(운남동. 영종중학교)
용유중학교,인천광역시 중구 남북로87번길 4(남북동)
용현중학교,인천광역시 미추홀구 낙섬동로 16(용현동. 용현중학교)
용현여자중학교,인천광역시 미추홀구 낙섬동로 28(용현동. 용현여자중학교)
인화여자중학교,인천광역시 미추홀구 석정로 165(도화동)
제물포여자중학교,인천광역시 미추홀구 인주대로470번길 20(주안동. 제물포여자중학교)
화도진중학교,인천광역시 동구 화수로 64(화수동. 화도진중학교)
인주중학교,인천광역시 미추홀구 매소홀로 335(학익동. 인주중학교)
광성중학교,인천광역시 중구 참외전로244번길 47. 광성중학교 (도원동)
인천재능중학교,인천광역시 동구 재능로 178(송림동)
동산중학교,인천광역시 동구 동산로 58동산중학교 (송림동. 동산중학교.동산고등학교)
송도중학교,인천광역시 중구 제물량로 123송도중학교
인성여자중학교,인천광역시 중구 홍예문로 39. 인성여자중학교 (송학동2가. 인성여자고등학교.인성여자중학교)
인하대학교사범대학부속중학교,인천광역시 미추홀구 재넘이길123번길 29. 인하대학교사범대학부속중학교 (학익동. 인하사범대부속중고등학교)
인천중산중학교,인천광역시 중구 두미포로 189(중산동. 인천중산중학교)
