ㄱ,주소,Latitude,Longitude
인천안남초등학교,인천광역시 계양구 경명대로1114번길 26(계산동. 안남초등학교),37.5406741,126.7322702
인천양지초등학교,인천광역시 서구 승학로197번길 11(심곡동. 양지초등학교),37.5402199,126.6711783
인천작동초등학교,인천광역시 계양구 까치말로 35(작전동. 인천작동초등학교),37.5288908,126.7356526
인천작전초등학교,인천광역시 계양구 주부토로 456(작전동. 인천작전초등학교),37.5345993,126.7286859
인천창신초등학교,인천광역시 서구 고산후로161번길 6. 인천창신초등학교 (원당동),37.5988804,126.6982021
인천천마초등학교,인천광역시 서구 서달로 58-5(석남동. 천마초등학교),37.5048605,126.679078
인천화전초등학교,인천광역시 계양구 효서로303번길 8(작전동. 인천화전초등학교),37.5287309,126.7310599
인천효성초등학교,인천광역시 계양구 안남로 601(효성동. 효성초등학교),37.5364523,126.71058
인천효성남초등학교,인천광역시 계양구 새벌로 125(효성동.효성남초등학교),37.5283548,126.7161639
인천해원초등학교,인천광역시 서구 청라사파이어로140번길 5(청라동. 인천해원초등학교),37.5264832,126.6264781
인천효성서초등학교,인천광역시 계양구 봉오대로 457(효성동. 효성서초등학교),37.5284934,126.6988238
인천간재울초등학교,인천광역시 서구 승학로 433(검암동. 간재울초등학교),37.560284,126.672335
인천검암초등학교,인천광역시 서구 승학로 599번길 45(검암동. 검암초등학교),37.5678642,126.6785231
인천발산초등학교,인천광역시 서구 고산후로78번길 6. 인천발산초등학교 (당하동),37.5902717,126.6988163
인천봉화초등학교,인천광역시 서구 건지로250번길 43(가좌동. 봉화초등학교),36.9341307,128.9128821
인천은지초등학교,인천광역시 서구 승학로572번길 22. 인천은지초등학교 (검암동),37.5646437,126.6847719
인천귤현초등학교,인천광역시 계양구 귤현길 15(귤현동. 귤현초등학교),37.5684176,126.7471447
인천해서초등학교,인천광역시 계양구 계산로 42-1(계산동. 해서초등학교),37.540061,126.718426
인천가림초등학교,인천광역시 서구 장고개로293번길 29(가좌동. 인천가림초등학교),37.490393,126.680935
인천왕길초등학교,인천광역시 서구 봉수대로1440번길 20(왕길동.왕길초등학교),37.6019303,126.6510343
인천경서초등학교,인천광역시 서구 경서로31번길 31(경서동. 경서초등학교),37.5565669,126.6510751
인천원당초등학교,인천광역시 서구 원당대로820번길 16(당하동.원당초등학교),37.5925066,126.6912702
인천능내초등학교,인천광역시 서구 검단로540번길 23(마전동. 능내초등학교),37.6026948,126.6658311
인천당산초등학교,인천광역시 계양구 동양로 122(동양동),37.558569,126.7593068
인천양촌초등학교,인천광역시 계양구 장제로 954(병방동. 양촌초등학교),37.5506316,126.7440713
인천완정초등학교,인천광역시 서구 완정로 99(마전동. 완정초등학교),37.5985001,126.664407
인천청일초등학교,인천광역시 서구 크리스탈로 46(청라동. 인천청일초등학교),37.5290852,126.6374111
인천청람초등학교,인천광역시 서구 청라커낼로 336(청라동. 인천청람초등학교),37.5384989,126.6453328
인천아람초등학교,인천광역시 서구 이음1로 289. 인천아람초등학교 (원당동 1094-2),37.5872195,126.7167008
갑룡초등학교,인천광역시 강화군 강화읍 갑룡길 88(강화읍. 갑룡초등학교),37.7436611,126.5029419
강화초등학교,인천광역시 강화군 강화읍 북문길 36(강화읍.강화초등학교),37.7509713,126.4853798
교동초등학교,인천광역시 강화군 교동면 대룡안길 29. 교동초등학교 (교동면. 교동초등학교),37.783959,126.2818518
길상초등학교,인천광역시 강화군 길상면 삼랑성길 22. 길상초등학교 (길상면. 길상초등학교),37.6387161,126.4906728
내가초등학교,인천광역시 강화군 내가면 강화서로 264(내가면),37.7211033,126.3904147
대월초등학교,인천광역시 강화군 강화읍 대월로 216(강화읍. 대월초등학교),37.761672,126.4895634
명신초등학교,인천광역시 강화군 하점면 강화서로560번길 22. 명신초등학교 (하점면),37.7446842,126.3897535
불은초등학교,인천광역시 강화군 불은면 불은남로544번길 9(불은면. 불은초등학교),37.6844418,126.4868654
삼산초등학교,인천광역시 강화군 삼산면 삼산북로 451. 삼산초등학교 (삼산면),37.7039846,126.3218731
삼성초등학교,인천광역시 강화군 불은면 중앙로 609(불은면. 삼성초등학교),37.7083136,126.4503228
서도초등학교,인천광역시 강화군 서도면 주문도길 173(서도면. 서도초.중.고등학교),37.6478235,126.2520701
선원초등학교,인천광역시 강화군 선원면 강화동로 924(선원면.선원초등학교),37.7152704,126.4797198
송해초등학교,인천광역시 강화군 송해면 전망대로 93-12(송해면. 송해초등학교),37.7703167,126.460177
양도초등학교,인천광역시 강화군 양도면 강화남로 1036(양도면. 양도초등학교),37.6889817,126.4196799
양사초등학교,인천광역시 강화군 양사면 덕하로 145(양사면. 양사초등학교),37.8041118,126.420536
조산초등학교,인천광역시 강화군 양도면 강화남로 510(양도면. 조산초등학교),37.6535112,126.4376543
